CVE_ID,PublishTime,ModifyTime,Report,CVSSV3,AttackVector,AttackComplexity,PrivilegesRequired,UserInteraction,Scope,ConfidentialityImpact,IntegrityImpact,AvailabilityImpact
CVE-2013-0074,2013-03-13T00:55Z,2024-12-19T19:49Z,"Microsoft Silverlight 5, and 5 Developer Runtime, before 5.1.20125.0 does not properly validate pointers during HTML object rendering, which allows remote attackers to execute arbitrary code via a crafted Silverlight application, aka ""Silverlight Double Dereference Vulnerability.""",7.8,LOCAL,LOW,NONE,REQUIRED,UNCHANGED,HIGH,HIGH,HIGH
CVE-2013-0159,2018-05-01T19:29Z,2024-11-21T01:46Z,The fedora-business-cards package before 1-0.1.beta1.fc17 on Fedora 17 and before 1-0.1.beta1.fc18 on Fedora 18 allows local users to cause a denial of service or write to arbitrary files via a symlink attack on /tmp/fedora-business-cards-buffer.svg.,7.1,LOCAL,LOW,LOW,NONE,UNCHANGED,NONE,HIGH,HIGH
CVE-2013-0161,2020-01-29T15:15Z,2024-11-21T01:46Z,Havalite CMS 1.1.7 has a stored XSS vulnerability,5.4,NETWORK,LOW,LOW,REQUIRED,CHANGED,LOW,LOW,NONE
CVE-2013-0163,2019-12-05T15:15Z,2024-11-21T01:46Z,OpenShift haproxy cartridge: predictable /tmp in set-proxy connection hook which could facilitate DoS,5.5,LOCAL,LOW,LOW,NONE,UNCHANGED,NONE,NONE,HIGH
CVE-2013-0165,2019-11-01T19:15Z,2024-11-21T01:46Z,cartridges/openshift-origin-cartridge-mongodb-2.2/info/bin/dump.sh in OpenShift does not properly create files in /tmp.,7.3,NETWORK,LOW,NONE,NONE,UNCHANGED,LOW,LOW,LOW
CVE-2013-0178,2019-11-01T19:15Z,2024-11-21T01:47Z,Insecure temporary file vulnerability in Redis before 2.6 related to /tmp/redis-%p.vm.,5.5,LOCAL,LOW,LOW,NONE,UNCHANGED,NONE,HIGH,NONE
CVE-2013-0180,2019-11-01T19:15Z,2024-11-21T01:47Z,Insecure temporary file vulnerability in Redis 2.6 related to /tmp/redis.ds.,5.5,LOCAL,LOW,LOW,NONE,UNCHANGED,NONE,HIGH,NONE
CVE-2013-0185,2018-05-01T19:29Z,2024-11-21T01:47Z,Cross-site request forgery (CSRF) vulnerability in ManageIQ Enterprise Virtualization Manager (EVM) allows remote attackers to hijack the authentication of users for requests that have unspecified impact via unknown vectors.,8.8,NETWORK,LOW,NONE,REQUIRED,UNCHANGED,HIGH,HIGH,HIGH
CVE-2013-0186,2019-11-01T19:15Z,2024-11-21T01:47Z,Multiple cross-site scripting (XSS) vulnerabilities in ManageIQ EVM allows remote attackers to inject arbitrary web script or HTML via unspecified vectors.,6.1,NETWORK,LOW,NONE,REQUIRED,CHANGED,LOW,LOW,NONE
CVE-2013-0192,2020-02-07T14:15Z,2024-11-21T01:47Z,File Disclosure in SMF (SimpleMachines Forum) <= 2.0.3: Forum admin can read files such as the database config.,4.9,NETWORK,LOW,HIGH,NONE,UNCHANGED,HIGH,NONE,NONE
